Ciclo 1,Hash Inicio,ID 43614,1000 buscas,0.001050 seg
Ciclo 1,Hash Meio,ID 3341,1000 buscas,0.000446 seg
Ciclo 1,Hash Fim,ID 189553,1000 buscas,0.000007 seg
Ciclo 1,Hash Inexistente,ID 9999999,1000 buscas,0.000007 seg
Ciclo 2,Hash Inicio,ID 43614,1000 buscas,0.001020 seg
Ciclo 2,Hash Meio,ID 3341,1000 buscas,0.000451 seg
Ciclo 2,Hash Fim,ID 189553,1000 buscas,0.000009 seg
Ciclo 2,Hash Inexistente,ID 9999999,1000 buscas,0.000007 seg
Ciclo 3,Hash Inicio,ID 43614,1000 buscas,0.001008 seg
Ciclo 3,Hash Meio,ID 3341,1000 buscas,0.000456 seg
Ciclo 3,Hash Fim,ID 189553,1000 buscas,0.000007 seg
Ciclo 3,Hash Inexistente,ID 9999999,1000 buscas,0.000006 seg
